model,training,count,proportion
densenet161,imagenet,1861,0.28150052942066256
resnet152,imagenet,1410,0.21328089547723492
mnasnet1_0,imagenet,438,0.0662532143397368
resnet50,imagenet,394,0.059597640296475574
mobilenet_v2,imagenet,369,0.05581606413553169
squeezenet1_0,imagenet,306,0.04628649220995311
densenet161,random,247,0.03736197247012555
resnet152,random,201,0.030403872333988807
alexnet,imagenet,196,0.02964755710180003
vgg16_bn,imagenet,184,0.027832400544546967
resnet18,imagenet,181,0.0273786114052337
squeezenet1_0,random,163,0.024655876569354106
alexnet,random,158,0.02389956133716533
vgg16,imagenet,136,0.020571774315534714
mobilenet_v2,random,99,0.014975041597337771
resnet50,random,87,0.013159885040084708
mnasnet1_0,random,75,0.011344728482831645
resnet18,random,73,0.011042202389956134
vgg16_bn,random,46,0.006958100136136742
vgg16,random,36,0.00544546967175919
