model,training,count,proportion
densenet161,imagenet,897,0.13568295265466646
resnet152,imagenet,665,0.10058992588110724
keypoints2d,taskonomy,521,0.07880804719407049
vanishing_point,taskonomy,330,0.04991680532445923
autoencoding,taskonomy,289,0.04371502042051127
edge_texture,taskonomy,267,0.04038723339888065
mnasnet1_0,imagenet,202,0.030555135380426562
segment_semantic,taskonomy,201,0.030403872333988807
class_object,taskonomy,188,0.028437452730297987
mobilenet_v2,imagenet,186,0.028134926637422477
resnet50,imagenet,176,0.026622296173044926
segment_unsup2d,taskonomy,168,0.025412191801542885
class_scene,taskonomy,163,0.024655876569354106
squeezenet1_0,imagenet,141,0.02132808954772349
curvature,taskonomy,130,0.019664196036908183
vgg16,deepcluster,123,0.018605354711843897
denoising,taskonomy,119,0.018000302526092877
inpainting,taskonomy,118,0.017849039479655122
jigsaw,taskonomy,107,0.016185145968839812
depth_zbuffer,taskonomy,104,0.015731356829526547
alexnet,imagenet,100,0.015126304643775526
alexnet,deepcluster,95,0.014369989411586749
segment_unsup25d,taskonomy,92,0.013916200272273483
vgg16_bn,imagenet,92,0.013916200272273483
resnet152,random,86,0.013008621993646953
nonfixated_pose,taskonomy,85,0.012857358947209198
egomotion,taskonomy,85,0.012857358947209198
densenet161,random,80,0.01210104371502042
room_layout,taskonomy,78,0.01179851762214491
resnet18,imagenet,77,0.011647254575707155
point_matching,taskonomy,76,0.0114959915292694
depth_euclidean,taskonomy,71,0.010739676297080622
edge_occlusion,taskonomy,71,0.010739676297080622
vgg16,imagenet,61,0.009227045832703071
squeezenet1_0,random,55,0.008319467554076539
alexnet,random,53,0.008016941461201028
fixated_pose,taskonomy,52,0.007865678414763273
keypoints3d,taskonomy,52,0.007865678414763273
reshading,taskonomy,51,0.007714415368325518
mobilenet_v2,random,34,0.0051429435788836785
resnet50,random,24,0.003630313114506126
resnet18,random,22,0.0033277870216306157
mnasnet1_0,random,21,0.0031765239751928606
vgg16,random,17,0.0025714717894418392
vgg16_bn,random,9,0.0013613674179397974
