,model,score,metric
18,selfsup_resnet50_simclr_bs256,0.12963613993292197,srp_ridge
16,selfsup_resnet50_relative_loc,0.1497976967533979,srp_ridge
19,selfsup_resnet50_simclr_bs256_moco_v2,0.15000374966178817,srp_ridge
13,selfsup_resnet50_npid,0.1511301337373832,srp_ridge
9,selfsup_resnet50_byol_bs2048a2,0.15160862972153233,srp_ridge
20,selfsup_resnet50_supervised,0.15596509613157575,srp_ridge
12,selfsup_resnet50_moco_v2,0.15621056580076723,srp_ridge
15,selfsup_resnet50_random,0.15752494218233487,srp_ridge
11,selfsup_resnet50_moco_v1,0.15900356616726197,srp_ridge
14,selfsup_resnet50_odc,0.1591751138610408,srp_ridge
17,selfsup_resnet50_rotation_pred,0.16004102882738164,srp_ridge
10,selfsup_resnet50_byol_bs256a16,0.1627947150115085,srp_ridge
8,dino_xcit_small_12_p8,0.1641238474143822,srp_ridge
0,dino_resnet50,0.16461496894918934,srp_ridge
3,dino_vits16,0.16803769251317757,srp_ridge
1,dino_vitb16,0.16888192821455425,srp_ridge
6,dino_xcit_medium_24_p8,0.17064195795776418,srp_ridge
2,dino_vitb8,0.1728088514973862,srp_ridge
7,dino_xcit_small_12_p16,0.17924872943089623,srp_ridge
4,dino_vits8,0.18038236315412282,srp_ridge
5,dino_xcit_medium_24_p16,0.18329699585082185,srp_ridge
0,dino_resnet50_selfsupervised,0.3741582616044942,rsa
1,dino_vitb16_selfsupervised,0.38273217175699586,rsa
2,dino_vitb8_selfsupervised,0.3836639766973889,rsa
3,dino_vits16_selfsupervised,0.3847294897531135,rsa
4,dino_vits8_selfsupervised,0.36185194870549653,rsa
5,dino_xcit_medium_24_p16_selfsupervised,0.3873493279130386,rsa
6,dino_xcit_medium_24_p8_selfsupervised,0.3808759044700853,rsa
7,dino_xcit_small_12_p16_selfsupervised,0.3682544355429768,rsa
8,dino_xcit_small_12_p8_selfsupervised,0.36211105991366943,rsa
9,selfsup_resnet50_byol_bs2048a2_selfsupervised,0.35389429534944666,rsa
10,selfsup_resnet50_byol_bs256a16_selfsupervised,0.22426092517068316,rsa
11,selfsup_resnet50_moco_v1_selfsupervised,0.2464230302064715,rsa
12,selfsup_resnet50_moco_v2_selfsupervised,0.25489037885186333,rsa
13,selfsup_resnet50_npid_selfsupervised,0.3414616654551337,rsa
14,selfsup_resnet50_odc_selfsupervised,0.28860966889706,rsa
15,selfsup_resnet50_random,0.262625728075976,rsa
16,selfsup_resnet50_relative_loc_selfsupervised,0.31951728695469456,rsa
17,selfsup_resnet50_rotation_pred_selfsupervised,0.24666670562397072,rsa
18,selfsup_resnet50_simclr_bs256_moco_v2_selfsupervised,0.24119352616248854,rsa
19,selfsup_resnet50_simclr_bs256_selfsupervised,0.2348488867025171,rsa
20,selfsup_resnet50_supervised,0.2991470767250091,rsa
